"","x","y","z","omega","katsse","akev","possture"
"133","215","-1426","686","3.094587","0","0","walk"
"134","6","-1481","488","24.211847","0","0","walk"
"135","463","-1409","551","18.215767","0","0","walk"
"136","-17","-1529","542","8.49631","0","0","walk"
"137","217","-1437","540","19.710956","0","0","walk"
"138","-10","-1471","668","1.972637","0","0","walk"
"139","88","-1490","543","3.619282","0","0","walk"
"140","300","-1401","712","8.958251","0","0","walk"
"141","96","-1488","494","13.432482","0","0","walk"
"142","419","-1418","572","16.7034","0","0","walk"
"143","-34","-1471","531","17.46913","0","0","walk"
"144","400","-1385","563","7.187928","0","0","walk"
"145","0","-1497","519","11.059608","0","0","walk"
"146","359","-1421","496","9.828469","0","0","walk"
"147","335","-1423","671","9.479494","0","0","walk"
"148","24","-1476","499","34.204355","0","0","walk"
"149","184","-1476","524","21.353302","0","0","walk"
"150","304","-1448","551","7.796778","0","0","walk"
"151","19","-1490","511","40.956159","0","0","walk"
"152","233","-1471","547","14.984197","0","0","walk"
"153","176","-1434","639","10.845908","0","0","walk"
"154","62","-1441","406","3.447589","0","0","walk"
"155","371","-1412","551","6.91326","0","0","walk"
"156","-4","-1480","455","16.936876","0","0","walk"
"157","240","-1463","540","13.658597","0","0","walk"
"158","79","-1497","679","8.28219","0","0","walk"
"159","97","-1480","456","13.474448","0","0","walk"
"160","393","-1364","543","13.100965","0","0","walk"
"161","96","-1433","673","11.226651","0","0","walk"
"162","64","-1489","492","10.065777","0","0","walk"
"163","428","-1362","529","12.812037","0","0","walk"
"164","35","-1482","519","7.267854","0","0","walk"
"165","60","-1492","728","22.947033","0","0","none"
"166","67","-1514","704","4.620213","0","0","walk"
"167","39","-1480","496","6.159811","0","0","walk"
"168","259","-1476","615","7.460803","0","0","walk"
"169","39","-1496","503","22.769461","0","0","walk"
"170","222","-1456","654","12.251072","0","0","walk"
"171","24","-1508","483","25.363827","0","0","walk"
"172","369","-1492","643","9.866042","0","0","walk"
"173","-7","-1479","624","8.187315","0","0","walk"
"174","-16","-1503","624","7.258962","0","0","walk"
"175","248","-1405","608","10.22393","0","0","walk"
"176","19","-1529","615","10.443777","0","0","walk"
"177","120","-1441","712","22.865401","0","0","none"
"178","112","-1439","659","3.91767","0","0","walk"
"179","62","-1470","456","14.136701","0","0","walk"
"180","319","-1418","617","20.548711","0","0","walk"
"181","40","-1473","503","18.872581","0","0","walk"
"182","375","-1329","563","11.591988","0","0","walk"
"183","142","-1442","632","2.189626","0","0","walk"
"184","39","-1505","478","7.215826","0","0","walk"
"185","307","-1424","585","5.570754","0","0","walk"
"186","104","-1465","422","6.343227","0","0","walk"
"187","312","-1425","579","8.402256","0","0","walk"
"188","71","-1461","451","11.43487","0","0","walk"
"189","591","-1473","504","8.1568","0","0","walk"
"190","-64","-1460","583","3.130561","0","0","walk"
"191","79","-1480","470","0","0","0","walk"
"192","401","-1447","577","5.6456","0","0","walk"
"193","31","-1476","471","19.118584","0","0","walk"
"194","393","-1364","547","14.835259","0","0","walk"
"195","-74","-1482","524","16.143116","0","0","walk"
"196","-25","-1476","451","8.564845","0","0","walk"
"197","247","-1448","726","5.655321","0","0","walk"
"198","-17","-1488","472","24.517707","0","0","walk"
"199","184","-1449","542","20.254306","0","0","walk"
"200","163","-1391","593","6.373044","0","0","walk"
"201","-33","-1517","519","12.906616","0","0","walk"
"202","395","-1474","487","32.485494","0","0","walk"
"203","163","-1440","647","11.164546","0","0","walk"
"204","57","-1485","478","4.627241","0","0","walk"
"205","145","-1447","560","14.407877","0","0","walk"
"206","304","-1433","654","1.712426","0","0","walk"
"207","975","-911","321","33.385629","0","0","walk"
"208","1155","-369","272","10.725088","0","0","sits down"
"209","1167","-409","239","2.044566","0","0","sits down"
"210","1160","-431","263","0.58907","0","0","sits down"
"211","1161","-424","259","0.443217","0","0","sits down"
"212","1159","-432","252","1.575036","0","0","sits down"
"213","1159","-420","252","0.326922","0","0","sits down"
"214","1159","-420","252","0","0","0","sits down"
"215","1160","-417","255","0.702886","0","0","sits down"
"216","1158","-417","248","0.367211","0","0","sits down"
"217","1159","-420","248","0.694732","0","0","sits down"
"218","1159","-416","251","0","0","0","sits down"
"219","1159","-416","248","0","0","0","sits down"
"220","1159","-416","248","1.357111","0","0","sits down"
"221","1159","-420","248","1.550435","0","0","sits down"
"222","1159","-416","248","1.002991","0","0","sits down"
"223","1158","-416","248","0.701667","0","0","sits down"
"224","1159","-416","248","0.370677","0","0","sits down"
"225","1160","-417","254","0","0","0","sits down"
"226","1159","-417","252","0","0","0","sits down"
"227","1158","-413","248","0.413101","0","0","sits down"
"228","1160","-418","254","0","0","0","sits down"
"229","1159","-409","247","0.127687","0","0","sits down"
"230","1159","-417","246","0","0","0","sits down"
"231","1158","-416","241","1.032177","0","0","sits down"
"232","1159","-416","263","0","0","0","sits down"
"233","1159","-432","255","0","0","0","sits down"
"234","1159","-416","248","0","0","0","sits down"
"235","1161","-418","243","0","0","0","sits down"
"236","1159","-417","252","1.088398","0","0","sits down"
"237","1159","-413","243","0","0","0","sits down"
"238","1159","-416","240","0.437287","0","0","sits down"
"239","1159","-416","247","0.219949","0","0","sits down"
"240","1159","-416","246","0.584011","0","0","sits down"
"241","1159","-416","247","0","0","0","sits down"
"242","1159","-420","248","0.469532","0","0","sits down"
"243","1159","-413","252","0.558418","0","0","sits down"
"244","1158","-416","249","0","0","0","sits down"
"245","1158","-413","247","0","0","0","sits down"
"246","1159","-417","243","0","0","0","sits down"
"247","1155","-418","248","0","0","0","sits down"
"248","1155","-416","248","0","0","0","sits down"
"249","1159","-415","248","0","0","0","sits down"
"250","1159","-416","248","0.354706","0","0","sits down"
"251","1159","-415","246","0.25375","0","0","sits down"
"252","1155","-416","240","0.134631","0","0","sits down"
"253","1159","-416","248","0.4635","0","0","sits down"
"254","1159","-415","246","0","0","0","sits down"
"255","1159","-407","248","0.859542","0","0","sits down"
"256","1155","-409","248","0.808057","0","0","sits down"
"257","1159","-407","246","0","0","0","sits down"
"258","1158","-404","240","0","0","0","sits down"
"259","1158","-408","240","0","0","0","sits down"
"260","1159","-416","251","0","0","0","sits down"
"261","1159","-409","247","0.617299","0","0","sits down"
"262","1159","-409","240","0","0","0","sits down"
"263","1159","-404","240","0.296225","0","0","sits down"
"264","1159","-410","242","0","0","0","sits down"
"265","1160","-407","243","0","0","0","sits down"
"266","1159","-409","243","0","0","0","sits down"
"267","1160","-415","263","0.140535","0","0","sits down"
"268","1171","-433","312","2.089078","0","0","sits down"
"269","1159","-441","281","2.93323","0","0","sits down"
"270","1144","-628","399","32.451662","0","0","none"
"271","88","-1480","471","20.852207","0","0","walk"
"272","359","-1344","568","16.288176","0","0","walk"
"273","111","-1393","592","11.61691","0","0","walk"
"274","71","-1370","531","22.398944","0","0","walk"
"275","46","-1497","471","10.707766","0","0","walk"
"276","99","-1472","496","20.05208","0","0","walk"
"277","24","-1604","423","14.571863","0","0","none"
"278","23","-1512","455","10.626436","0","0","walk"
"279","448","-1384","527","15.071028","0","0","walk"
"280","60","-1441","529","4.459768","0","0","walk"
"281","192","-1453","472","9.304573","0","0","walk"
"282","376","-1360","527","5.60652","0","0","walk"
"283","-1","-1474","483","10.368758","0","0","walk"
"284","211","-1440","476","21.805403","0","0","walk"
"285","332","-1469","575","10.158481","0","0","walk"
"286","57","-1469","424","12.47029","0","0","walk"
"287","96","-1457","534","21.60608","0","0","walk"
